dataset,design,error,exact_result,filename,mean_approx_result,query,result_size,sampling_rate,selectivity
skew,SdWoRedundancy,0.147,58993936852,SdWoRedundancy_Selectivity20_03-samplingRate50.0pc.log,58997701128,3,1005,50,20
skew,SdWoRedundancy,33.342,2319638613721,SdWoRedundancy_Selectivity80_03-samplingRate1.00pc.log,2520127217071,3,1005,1,80
skew,SdWoRedundancy,28.621,2319638613721,SdWoRedundancy_Selectivity80_03-samplingRate2.00pc.log,2419972181143,3,1005,2,80
skew,SdWoRedundancy,26.677,2319638613721,SdWoRedundancy_Selectivity80_03-samplingRate5.00pc.log,2392706451121,3,1005,5,80
skew,SdWoRedundancy,22.679,2319638613721,SdWoRedundancy_Selectivity80_03-samplingRate10.0pc.log,2323979507106,3,1005,10,80
skew,SdWoRedundancy,20.389,2319638613721,SdWoRedundancy_Selectivity80_03-samplingRate20.0pc.log,2334413579260,3,1005,20,80
skew,SdWoRedundancy,12.520,2319638613721,SdWoRedundancy_Selectivity80_03-samplingRate50.0pc.log,2327219692980,3,1005,50,80
skew,WD,12.365,1160613740,WD_03-samplingRate1.00pc.log,1151087192,3,1005,1,-1
skew,WD,8.592,1160613740,WD_03-samplingRate2.00pc.log,1158438621,3,1005,2,-1
skew,WD,5.088,1160613740,WD_03-samplingRate5.00pc.log,1159565023,3,1005,5,-1
skew,WD,3.711,1160613740,WD_03-samplingRate10.0pc.log,1161239495,3,1005,10,-1
skew,WD,2.450,1160613740,WD_03-samplingRate20.0pc.log,1160771235,3,1005,20,-1
skew,WD,1.340,1160613740,WD_03-samplingRate50.0pc.log,1160265919,3,1005,50,-1
skew,WD,5.696,3267759356,WD_Selectivity01_03-samplingRate1.00pc.log,3288016862,3,1005,1,1
skew,WD,3.989,3267759356,WD_Selectivity01_03-samplingRate2.00pc.log,3260825323,3,1005,2,1
skew,WD,2.525,3267759356,WD_Selectivity01_03-samplingRate5.00pc.log,3266636171,3,1005,5,1
skew,WD,1.720,3267759356,WD_Selectivity01_03-samplingRate10.0pc.log,3267395568,3,1005,10,1
skew,WD,1.162,3267759356,WD_Selectivity01_03-samplingRate20.0pc.log,3267484279,3,1005,20,1
skew,WD,0.570,3267759356,WD_Selectivity01_03-samplingRate50.0pc.log,3267261157,3,1005,50,1
skew,WD,1.536,58993936852,WD_Selectivity20_03-samplingRate1.00pc.log,58983338048,3,1005,1,20
skew,WD,1.064,58993936852,WD_Selectivity20_03-samplingRate2.00pc.log,58997536296,3,1005,2,20
skew,WD,0.653,58993936852,WD_Selectivity20_03-samplingRate5.00pc.log,58990423252,3,1005,5,20
skew,WD,0.463,58993936852,WD_Selectivity20_03-samplingRate10.0pc.log,58993282505,3,1005,10,20
skew,WD,0.300,58993936852,WD_Selectivity20_03-samplingRate20.0pc.log,58992804876,3,1005,20,20
skew,WD,0.150,58993936852,WD_Selectivity20_03-samplingRate50.0pc.log,58986188603,3,1005,50,20
skew,WD,29.668,2319638613721,WD_Selectivity80_03-samplingRate1.00pc.log,2434221589555,3,1005,1,80
skew,WD,25.171,2319638613721,WD_Selectivity80_03-samplingRate2.00pc.log,2330739499105,3,1005,2,80
skew,WD,24.405,2319638613721,WD_Selectivity80_03-samplingRate5.00pc.log,2335114281715,3,1005,5,80
skew,WD,21.861,2319638613721,WD_Selectivity80_03-samplingRate10.0pc.log,2301170966686,3,1005,10,80
skew,WD,19.467,2319638613721,WD_Selectivity80_03-samplingRate20.0pc.log,2297826903268,3,1005,20,80
skew,WD,12.517,2319638613721,WD_Selectivity80_03-samplingRate50.0pc.log,2331701795946,3,1005,50,80
skew,SdWithRedundancy,2.494,146463546,SdWithRedundancy_06-samplingRate1.00pc.log,146473261,6,1005,1,-1
skew,SdWithRedundancy,1.735,146463546,SdWithRedundancy_06-samplingRate2.00pc.log,146317077,6,1005,2,-1
skew,SdWithRedundancy,1.140,146463546,SdWithRedundancy_06-samplingRate5.00pc.log,146524223,6,1005,5,-1
skew,SdWithRedundancy,0.746,146463546,SdWithRedundancy_06-samplingRate10.0pc.log,146490344,6,1005,10,-1
skew,SdWithRedundancy,0.516,146463546,SdWithRedundancy_06-samplingRate20.0pc.log,146412385,6,1005,20,-1
skew,SdWithRedundancy,0.254,146463546,SdWithRedundancy_06-samplingRate50.0pc.log,146495676,6,1005,50,-1
skew,SdWithRedundancy,0.248,34167596668,SdWithRedundancy_Selectivity01_06-samplingRate1.00pc.log,34163304003,6,1005,1,1
skew,SdWithRedundancy,0.189,34167596668,SdWithRedundancy_Selectivity01_06-samplingRate2.00pc.log,34168143044,6,1005,2,1
skew,SdWithRedundancy,0.107,34167596668,SdWithRedundancy_Selectivity01_06-samplingRate5.00pc.log,34169917084,6,1005,5,1
skew,SdWithRedundancy,0.076,34167596668,SdWithRedundancy_Selectivity01_06-samplingRate10.0pc.log,34168727406,6,1005,10,1
skew,SdWithRedundancy,0.049,34167596668,SdWithRedundancy_Selectivity01_06-samplingRate20.0pc.log,34166444368,6,1005,20,1
skew,SdWithRedundancy,0.024,34167596668,SdWithRedundancy_Selectivity01_06-samplingRate50.0pc.log,34167830466,6,1005,50,1
skew,SdWithRedundancy,0.076,282536535829,SdWithRedundancy_Selectivity20_06-samplingRate1.00pc.log,282520272136,6,1005,1,20
skew,SdWithRedundancy,0.053,282536535829,SdWithRedundancy_Selectivity20_06-samplingRate2.00pc.log,282540603544,6,1005,2,20
skew,SdWithRedundancy,0.032,282536535829,SdWithRedundancy_Selectivity20_06-samplingRate5.00pc.log,282533589205,6,1005,5,20
skew,SdWithRedundancy,0.023,282536535829,SdWithRedundancy_Selectivity20_06-samplingRate10.0pc.log,282537701677,6,1005,10,20
skew,SdWithRedundancy,0.016,282536535829,SdWithRedundancy_Selectivity20_06-samplingRate20.0pc.log,282539175649,6,1005,20,20
skew,SdWithRedundancy,0.008,282536535829,SdWithRedundancy_Selectivity20_06-samplingRate50.0pc.log,282536080784,6,1005,50,20
skew,SdWithRedundancy,0.024,767126984979,SdWithRedundancy_Selectivity80_06-samplingRate1.00pc.log,767123417797,6,1005,1,80
skew,SdWithRedundancy,0.017,767126984979,SdWithRedundancy_Selectivity80_06-samplingRate2.00pc.log,767126064581,6,1005,2,80
