dataset,design,error,exact_result,filename,mean_approx_result,query,result_size,sampling_rate,selectivity
uniform,SdWithRedundancy,0.110,108787736475,SdWithRedundancy_Selectivity50_03-samplingRate20.0pc.log,108783241969,3,1005,20,50
uniform,SdWithRedundancy,0.056,108787736475,SdWithRedundancy_Selectivity50_03-samplingRate50.0pc.log,108790428876,3,1005,50,50
uniform,SdWoRedundancy,1.077,108609017910,SdWoRedundancy_03-samplingRate1.00pc.log,108570795949,3,1005,1,-1
uniform,SdWoRedundancy,0.730,108609017910,SdWoRedundancy_03-samplingRate2.00pc.log,108650364303,3,1005,2,-1
uniform,SdWoRedundancy,0.471,108609017910,SdWoRedundancy_03-samplingRate5.00pc.log,108597789180,3,1005,5,-1
uniform,SdWoRedundancy,0.324,108609017910,SdWoRedundancy_03-samplingRate10.0pc.log,108610415296,3,1005,10,-1
uniform,SdWoRedundancy,0.208,108609017910,SdWoRedundancy_03-samplingRate20.0pc.log,108592318713,3,1005,20,-1
uniform,SdWoRedundancy,0.106,108609017910,SdWoRedundancy_03-samplingRate50.0pc.log,108617075677,3,1005,50,-1
uniform,SdWoRedundancy,1.366,42558390697,SdWoRedundancy_Selectivity01_03-samplingRate1.00pc.log,42555452350,3,1005,1,1
uniform,SdWoRedundancy,0.998,42558390697,SdWoRedundancy_Selectivity01_03-samplingRate2.00pc.log,42575181167,3,1005,2,1
uniform,SdWoRedundancy,0.603,42558390697,SdWoRedundancy_Selectivity01_03-samplingRate5.00pc.log,42540494062,3,1005,5,1
uniform,SdWoRedundancy,0.407,42558390697,SdWoRedundancy_Selectivity01_03-samplingRate10.0pc.log,42553362798,3,1005,10,1
uniform,SdWoRedundancy,0.267,42558390697,SdWoRedundancy_Selectivity01_03-samplingRate20.0pc.log,42560536567,3,1005,20,1
uniform,SdWoRedundancy,0.143,42558390697,SdWoRedundancy_Selectivity01_03-samplingRate50.0pc.log,42559317186,3,1005,50,1
uniform,SdWoRedundancy,1.129,86336968850,SdWoRedundancy_Selectivity02_03-samplingRate1.00pc.log,86359665600,3,1005,1,2
uniform,SdWoRedundancy,0.774,86336968850,SdWoRedundancy_Selectivity02_03-samplingRate2.00pc.log,86357327030,3,1005,2,2
uniform,SdWoRedundancy,0.482,86336968850,SdWoRedundancy_Selectivity02_03-samplingRate5.00pc.log,86347272163,3,1005,5,2
uniform,SdWoRedundancy,0.341,86336968850,SdWoRedundancy_Selectivity02_03-samplingRate10.0pc.log,86330576537,3,1005,10,2
uniform,SdWoRedundancy,0.234,86336968850,SdWoRedundancy_Selectivity02_03-samplingRate20.0pc.log,86347452874,3,1005,20,2
uniform,SdWoRedundancy,0.108,86336968850,SdWoRedundancy_Selectivity02_03-samplingRate50.0pc.log,86342151991,3,1005,50,2
uniform,SdWoRedundancy,1.110,108817825831,SdWoRedundancy_Selectivity05_03-samplingRate1.00pc.log,108846548534,3,1005,1,5
uniform,SdWoRedundancy,0.723,108817825831,SdWoRedundancy_Selectivity05_03-samplingRate2.00pc.log,108759656453,3,1005,2,5
uniform,SdWoRedundancy,0.451,108817825831,SdWoRedundancy_Selectivity05_03-samplingRate5.00pc.log,108844884625,3,1005,5,5
uniform,SdWoRedundancy,0.326,108817825831,SdWoRedundancy_Selectivity05_03-samplingRate10.0pc.log,108812614260,3,1005,10,5
uniform,SdWoRedundancy,0.220,108817825831,SdWoRedundancy_Selectivity05_03-samplingRate20.0pc.log,108820910452,3,1005,20,5
uniform,SdWoRedundancy,0.107,108817825831,SdWoRedundancy_Selectivity05_03-samplingRate50.0pc.log,108820447063,3,1005,50,5
uniform,SdWoRedundancy,1.035,108742247967,SdWoRedundancy_Selectivity10_03-samplingRate1.00pc.log,108770238787,3,1005,1,10
uniform,SdWoRedundancy,0.745,108742247967,SdWoRedundancy_Selectivity10_03-samplingRate2.00pc.log,108747201735,3,1005,2,10
uniform,SdWoRedundancy,0.464,108742247967,SdWoRedundancy_Selectivity10_03-samplingRate5.00pc.log,108752459921,3,1005,5,10
uniform,SdWoRedundancy,0.326,108742247967,SdWoRedundancy_Selectivity10_03-samplingRate10.0pc.log,108728959907,3,1005,10,10
uniform,SdWoRedundancy,0.211,108742247967,SdWoRedundancy_Selectivity10_03-samplingRate20.0pc.log,108759339415,3,1005,20,10
uniform,SdWoRedundancy,0.106,108742247967,SdWoRedundancy_Selectivity10_03-samplingRate50.0pc.log,108746637902,3,1005,50,10
uniform,SdWoRedundancy,1.082,108753483234,SdWoRedundancy_Selectivity20_03-samplingRate1.00pc.log,108827877247,3,1005,1,20
uniform,SdWoRedundancy,0.766,108753483234,SdWoRedundancy_Selectivity20_03-samplingRate2.00pc.log,108705691636,3,1005,2,20
uniform,SdWoRedundancy,0.484,108753483234,SdWoRedundancy_Selectivity20_03-samplingRate5.00pc.log,108773561392,3,1005,5,20
uniform,SdWoRedundancy,0.324,108753483234,SdWoRedundancy_Selectivity20_03-samplingRate10.0pc.log,108719247288,3,1005,10,20
uniform,SdWoRedundancy,0.224,108753483234,SdWoRedundancy_Selectivity20_03-samplingRate20.0pc.log,108752772448,3,1005,20,20
uniform,SdWoRedundancy,0.106,108753483234,SdWoRedundancy_Selectivity20_03-samplingRate50.0pc.log,108757697058,3,1005,50,20
uniform,SdWoRedundancy,1.021,108787736475,SdWoRedundancy_Selectivity50_03-samplingRate1.00pc.log,108730453449,3,1005,1,50
uniform,SdWoRedundancy,0.737,108787736475,SdWoRedundancy_Selectivity50_03-samplingRate2.00pc.log,108735405270,3,1005,2,50
uniform,SdWoRedundancy,0.453,108787736475,SdWoRedundancy_Selectivity50_03-samplingRate5.00pc.log,108767210097,3,1005,5,50
uniform,SdWoRedundancy,0.315,108787736475,SdWoRedundancy_Selectivity50_03-samplingRate10.0pc.log,108781340493,3,1005,10,50
uniform,SdWoRedundancy,0.214,108787736475,SdWoRedundancy_Selectivity50_03-samplingRate20.0pc.log,108788482846,3,1005,20,50
uniform,SdWoRedundancy,0.108,108787736475,SdWoRedundancy_Selectivity50_03-samplingRate50.0pc.log,108778520371,3,1005,50,50
uniform,WD,1.051,108609017910,WD_03-samplingRate1.00pc.log,108570636460,3,1005,1,-1
uniform,WD,0.750,108609017910,WD_03-samplingRate2.00pc.log,108583666345,3,1005,2,-1
uniform,WD,0.479,108609017910,WD_03-samplingRate5.00pc.log,108619096367,3,1005,5,-1
uniform,WD,0.305,108609017910,WD_03-samplingRate10.0pc.log,108604021161,3,1005,10,-1
uniform,WD,0.208,108609017910,WD_03-samplingRate20.0pc.log,108615030073,3,1005,20,-1
uniform,WD,0.107,108609017910,WD_03-samplingRate50.0pc.log,108608479760,3,1005,50,-1
uniform,WD,1.385,42558390697,WD_Selectivity01_03-samplingRate1.00pc.log,42546535396,3,1005,1,1
uniform,WD,0.990,42558390697,WD_Selectivity01_03-samplingRate2.00pc.log,42528256517,3,1005,2,1
uniform,WD,0.594,42558390697,WD_Selectivity01_03-samplingRate5.00pc.log,42564832939,3,1005,5,1
uniform,WD,0.413,42558390697,WD_Selectivity01_03-samplingRate10.0pc.log,42566518398,3,1005,10,1
uniform,WD,0.276,42558390697,WD_Selectivity01_03-samplingRate20.0pc.log,42556316059,3,1005,20,1
uniform,WD,0.141,42558390697,WD_Selectivity01_03-samplingRate50.0pc.log,42557500747,3,1005,50,1
uniform,WD,1.136,86336968850,WD_Selectivity02_03-samplingRate1.00pc.log,86291728130,3,1005,1,2
uniform,WD,0.762,86336968850,WD_Selectivity02_03-samplingRate2.00pc.log,86325746520,3,1005,2,2
uniform,WD,0.499,86336968850,WD_Selectivity02_03-samplingRate5.00pc.log,86349810635,3,1005,5,2
uniform,WD,0.340,86336968850,WD_Selectivity02_03-samplingRate10.0pc.log,86345461655,3,1005,10,2
uniform,WD,0.223,86336968850,WD_Selectivity02_03-samplingRate20.0pc.log,86330794110,3,1005,20,2
uniform,WD,0.117,86336968850,WD_Selectivity02_03-samplingRate50.0pc.log,86344695312,3,1005,50,2
uniform,WD,1.058,108817825831,WD_Selectivity05_03-samplingRate1.00pc.log,108944671827,3,1005,1,5
uniform,WD,0.750,108817825831,WD_Selectivity05_03-samplingRate2.00pc.log,108792850046,3,1005,2,5
uniform,WD,0.466,108817825831,WD_Selectivity05_03-samplingRate5.00pc.log,108801247954,3,1005,5,5
uniform,WD,0.321,108817825831,WD_Selectivity05_03-samplingRate10.0pc.log,108794289727,3,1005,10,5
uniform,WD,0.215,108817825831,WD_Selectivity05_03-samplingRate20.0pc.log,108813329944,3,1005,20,5
uniform,WD,0.109,108817825831,WD_Selectivity05_03-samplingRate50.0pc.log,108814370088,3,1005,50,5
uniform,WD,1.071,108742247967,WD_Selectivity10_03-samplingRate1.00pc.log,108785445110,3,1005,1,10
uniform,WD,0.735,108742247967,WD_Selectivity10_03-samplingRate2.00pc.log,108730655750,3,1005,2,10
uniform,WD,0.470,108742247967,WD_Selectivity10_03-samplingRate5.00pc.log,108782943475,3,1005,5,10
uniform,WD,0.326,108742247967,WD_Selectivity10_03-samplingRate10.0pc.log,108735123668,3,1005,10,10
uniform,WD,0.214,108742247967,WD_Selectivity10_03-samplingRate20.0pc.log,108733971645,3,1005,20,10
uniform,WD,0.103,108742247967,WD_Selectivity10_03-samplingRate50.0pc.log,108746757579,3,1005,50,10
uniform,WD,1.029,108753483234,WD_Selectivity20_03-samplingRate1.00pc.log,108808178038,3,1005,1,20
uniform,WD,0.730,108753483234,WD_Selectivity20_03-samplingRate2.00pc.log,108726829760,3,1005,2,20
uniform,WD,0.431,108753483234,WD_Selectivity20_03-samplingRate5.00pc.log,108761669038,3,1005,5,20
uniform,WD,0.303,108753483234,WD_Selectivity20_03-samplingRate10.0pc.log,108753066824,3,1005,10,20
uniform,WD,0.211,108753483234,WD_Selectivity20_03-samplingRate20.0pc.log,108739140300,3,1005,20,20
uniform,WD,0.108,108753483234,WD_Selectivity20_03-samplingRate50.0pc.log,108760180233,3,1005,50,20
uniform,WD,1.034,108787736475,WD_Selectivity50_03-samplingRate1.00pc.log,108785075297,3,1005,1,50
uniform,WD,0.747,108787736475,WD_Selectivity50_03-samplingRate2.00pc.log,108777428300,3,1005,2,50
uniform,WD,0.455,108787736475,WD_Selectivity50_03-samplingRate5.00pc.log,108802921624,3,1005,5,50
uniform,WD,0.332,108787736475,WD_Selectivity50_03-samplingRate10.0pc.log,108793541071,3,1005,10,50
uniform,WD,0.208,108787736475,WD_Selectivity50_03-samplingRate20.0pc.log,108787489048,3,1005,20,50
uniform,WD,0.101,108787736475,WD_Selectivity50_03-samplingRate50.0pc.log,108786461527,3,1005,50,50
uniform,SdWithRedundancy,0.276,12330426888,SdWithRedundancy_06-samplingRate1.00pc.log,12330505632,6,1005,1,-1
uniform,SdWithRedundancy,0.194,12330426888,SdWithRedundancy_06-samplingRate2.00pc.log,12331290557,6,1005,2,-1
uniform,SdWithRedundancy,0.119,12330426888,SdWithRedundancy_06-samplingRate5.00pc.log,12330830301,6,1005,5,-1
uniform,SdWithRedundancy,0.085,12330426888,SdWithRedundancy_06-samplingRate10.0pc.log,12330464218,6,1005,10,-1
uniform,SdWithRedundancy,0.058,12330426888,SdWithRedundancy_06-samplingRate20.0pc.log,12329872790,6,1005,20,-1
uniform,SdWithRedundancy,0.028,12330426888,SdWithRedundancy_06-samplingRate50.0pc.log,12330496803,6,1005,50,-1
uniform,SdWithRedundancy,0.433,11241397414,SdWithRedundancy_Selectivity01_06-samplingRate1.00pc.log,11244437946,6,1005,1,1
uniform,SdWithRedundancy,0.313,11241397414,SdWithRedundancy_Selectivity01_06-samplingRate2.00pc.log,11241196733,6,1005,2,1
uniform,SdWithRedundancy,0.205,11241397414,SdWithRedundancy_Selectivity01_06-samplingRate5.00pc.log,11242683028,6,1005,5,1
uniform,SdWithRedundancy,0.137,11241397414,SdWithRedundancy_Selectivity01_06-samplingRate10.0pc.log,11241301443,6,1005,10,1
uniform,SdWithRedundancy,0.092,11241397414,SdWithRedundancy_Selectivity01_06-samplingRate20.0pc.log,11241031405,6,1005,20,1
uniform,SdWithRedundancy,0.045,11241397414,SdWithRedundancy_Selectivity01_06-samplingRate50.0pc.log,11241720218,6,1005,50,1
uniform,SdWithRedundancy,0.321,22779043496,SdWithRedundancy_Selectivity02_06-samplingRate1.00pc.log,22781842367,6,1005,1,2
uniform,SdWithRedundancy,0.212,22779043496,SdWithRedundancy_Selectivity02_06-samplingRate2.00pc.log,22777096707,6,1005,2,2
uniform,SdWithRedundancy,0.138,22779043496,SdWithRedundancy_Selectivity02_06-samplingRate5.00pc.log,22777876904,6,1005,5,2
uniform,SdWithRedundancy,0.095,22779043496,SdWithRedundancy_Selectivity02_06-samplingRate10.0pc.log,22777430957,6,1005,10,2
uniform,SdWithRedundancy,0.065,22779043496,SdWithRedundancy_Selectivity02_06-samplingRate20.0pc.log,22779102216,6,1005,20,2
uniform,SdWithRedundancy,0.031,22779043496,SdWithRedundancy_Selectivity02_06-samplingRate50.0pc.log,22779203914,6,1005,50,2
uniform,SdWithRedundancy,0.192,57217693829,SdWithRedundancy_Selectivity05_06-samplingRate1.00pc.log,57216830004,6,1005,1,5
uniform,SdWithRedundancy,0.141,57217693829,SdWithRedundancy_Selectivity05_06-samplingRate2.00pc.log,57213753798,6,1005,2,5
uniform,SdWithRedundancy,0.084,57217693829,SdWithRedundancy_Selectivity05_06-samplingRate5.00pc.log,57220368371,6,1005,5,5
uniform,SdWithRedundancy,0.058,57217693829,SdWithRedundancy_Selectivity05_06-samplingRate10.0pc.log,57218207269,6,1005,10,5
uniform,SdWithRedundancy,0.040,57217693829,SdWithRedundancy_Selectivity05_06-samplingRate20.0pc.log,57218677922,6,1005,20,5
uniform,SdWithRedundancy,0.019,57217693829,SdWithRedundancy_Selectivity05_06-samplingRate50.0pc.log,57217171204,6,1005,50,5
uniform,SdWithRedundancy,0.138,114894337070,SdWithRedundancy_Selectivity10_06-samplingRate1.00pc.log,114898598933,6,1005,1,10
uniform,SdWithRedundancy,0.094,114894337070,SdWithRedundancy_Selectivity10_06-samplingRate2.00pc.log,114894852008,6,1005,2,10
uniform,SdWithRedundancy,0.064,114894337070,SdWithRedundancy_Selectivity10_06-samplingRate5.00pc.log,114899477370,6,1005,5,10
uniform,SdWithRedundancy,0.042,114894337070,SdWithRedundancy_Selectivity10_06-samplingRate10.0pc.log,114895354446,6,1005,10,10
uniform,SdWithRedundancy,0.028,114894337070,SdWithRedundancy_Selectivity10_06-samplingRate20.0pc.log,114892618286,6,1005,20,10
uniform,SdWithRedundancy,0.014,114894337070,SdWithRedundancy_Selectivity10_06-samplingRate50.0pc.log,114895015811,6,1005,50,10
uniform,SdWithRedundancy,0.098,230321539071,SdWithRedundancy_Selectivity20_06-samplingRate1.00pc.log,230327014299,6,1005,1,20
uniform,SdWithRedundancy,0.067,230321539071,SdWithRedundancy_Selectivity20_06-samplingRate2.00pc.log,230333642082,6,1005,2,20
uniform,SdWithRedundancy,0.041,230321539071,SdWithRedundancy_Selectivity20_06-samplingRate5.00pc.log,230314898098,6,1005,5,20
uniform,SdWithRedundancy,0.029,230321539071,SdWithRedundancy_Selectivity20_06-samplingRate10.0pc.log,230319997715,6,1005,10,20
uniform,SdWithRedundancy,0.020,230321539071,SdWithRedundancy_Selectivity20_06-samplingRate20.0pc.log,230322476424,6,1005,20,20
uniform,SdWithRedundancy,0.009,230321539071,SdWithRedundancy_Selectivity20_06-samplingRate50.0pc.log,230320115622,6,1005,50,20
uniform,SdWithRedundancy,0.057,573991452330,SdWithRedundancy_Selectivity50_06-samplingRate1.00pc.log,573973952026,6,1005,1,50
uniform,SdWithRedundancy,0.038,573991452330,SdWithRedundancy_Selectivity50_06-samplingRate2.00pc.log,573994172493,6,1005,2,50
uniform,SdWithRedundancy,0.024,573991452330,SdWithRedundancy_Selectivity50_06-samplingRate5.00pc.log,573990946610,6,1005,5,50
uniform,SdWithRedundancy,0.016,573991452330,SdWithRedundancy_Selectivity50_06-samplingRate10.0pc.log,573988556731,6,1005,10,50
uniform,SdWithRedundancy,0.011,573991452330,SdWithRedundancy_Selectivity50_06-samplingRate20.0pc.log,573995284112,6,1005,20,50
uniform,SdWithRedundancy,0.006,573991452330,SdWithRedundancy_Selectivity50_06-samplingRate50.0pc.log,573991475103,6,1005,50,50
uniform,SdWoRedundancy,0.355,12330426888,SdWoRedundancy_06-samplingRate1.00pc.log,12331288096,6,1005,1,-1
uniform,SdWoRedundancy,0.238,12330426888,SdWoRedundancy_06-samplingRate2.00pc.log,12331140148,6,1005,2,-1
uniform,SdWoRedundancy,0.153,12330426888,SdWoRedundancy_06-samplingRate5.00pc.log,12329249742,6,1005,5,-1
uniform,SdWoRedundancy,0.111,12330426888,SdWoRedundancy_06-samplingRate10.0pc.log,12330006624,6,1005,10,-1
uniform,SdWoRedundancy,0.073,12330426888,SdWoRedundancy_06-samplingRate20.0pc.log,12330547193,6,1005,20,-1
uniform,SdWoRedundancy,0.036,12330426888,SdWoRedundancy_06-samplingRate50.0pc.log,12330517164,6,1005,50,-1
uniform,SdWoRedundancy,0.613,11241397414,SdWoRedundancy_Selectivity01_06-samplingRate1.00pc.log,11242384554,6,1005,1,1
uniform,SdWoRedundancy,0.464,11241397414,SdWoRedundancy_Selectivity01_06-samplingRate2.00pc.log,11243293095,6,1005,2,1
uniform,SdWoRedundancy,0.280,11241397414,SdWoRedundancy_Selectivity01_06-samplingRate5.00pc.log,11242863869,6,1005,5,1
uniform,SdWoRedundancy,0.188,11241397414,SdWoRedundancy_Selectivity01_06-samplingRate10.0pc.log,11241923701,6,1005,10,1
uniform,SdWoRedundancy,0.131,11241397414,SdWoRedundancy_Selectivity01_06-samplingRate20.0pc.log,11241433111,6,1005,20,1
uniform,SdWoRedundancy,0.062,11241397414,SdWoRedundancy_Selectivity01_06-samplingRate50.0pc.log,11241153559,6,1005,50,1
